time,HRV
02:02:00:259,75.94936671
02:02:00:592,74.99999976
02:02:00:926,74.99999976
02:02:01:259,75.47169788
02:02:01:592,75.47169788
02:02:01:926,75.47169788
02:02:02:259,76.92307656
02:02:02:592,76.92307656
02:02:02:926,76.4331208
02:02:03:259,76.4331208
02:02:03:592,77.41935462
02:02:03:926,77.41935462
02:02:04:259,77.41935462
02:02:04:592,74.99999976
02:02:04:926,74.99999976
02:02:05:259,73.17073134
02:02:05:592,73.17073134
02:02:05:926,73.17073134
02:02:06:259,72.72727232
02:02:06:592,72.72727232
02:02:06:926,74.53416105
02:02:07:259,74.53416105
02:02:07:592,74.99999976
02:02:07:926,74.99999976
02:02:08:259,74.99999976
02:02:08:592,74.99999976
02:02:08:926,74.99999976
02:02:09:259,72.2891563
02:02:09:592,72.2891563
02:02:09:926,72.2891563
02:02:10:259,67.41573013
02:02:10:592,67.41573013
02:02:10:926,73.61963162
02:02:11:259,73.61963162
02:02:11:592,73.61963162
02:02:11:926,71.4285714
02:02:12:259,71.4285714
02:02:12:592,71.00591672
02:02:12:926,71.00591672
02:02:13:259,71.00591672
02:02:13:592,64.516129
02:02:13:926,64.516129
02:02:14:259,64.516129
02:02:14:592,63.49206346
02:02:14:926,63.49206346
02:02:15:259,63.49206346
02:02:15:592,64.516129
02:02:15:926,64.516129
02:02:16:259,70.17543822
02:02:16:592,70.17543822
02:02:16:926,70.17543822
02:02:17:259,62.17616567
02:02:17:592,62.17616567
02:02:17:926,62.17616567
02:02:18:259,59.11330043
02:02:18:592,59.11330043
02:02:18:926,59.11330043
02:02:19:259,58.82352919
02:02:19:592,58.82352919
02:02:19:926,58.82352919
02:02:20:259,59.40594015
02:02:20:592,59.40594015
02:02:20:926,59.40594015
02:02:21:259,64.8648646
02:02:21:592,64.8648646
02:02:21:926,64.8648646
02:02:22:259,59.99999962
02:02:22:592,59.99999962
02:02:22:926,59.99999962
02:02:23:259,51.94805192
02:02:23:592,51.94805192
02:02:23:926,51.94805192
02:02:24:259,51.94805192
02:02:24:592,51.94805192
02:02:24:926,51.94805192
02:02:25:259,51.94805192
02:02:25:592,59.99999962
02:02:25:926,59.99999962
02:02:26:259,55.81395331
02:02:26:592,55.81395331
02:02:26:926,55.81395331
02:02:27:259,55.81395331
02:02:27:592,54.05405399
02:02:27:926,54.05405399
02:02:28:259,54.05405399
02:02:28:592,57.41626772
02:02:28:926,57.41626772
02:02:29:259,57.41626772
02:02:29:592,61.85567009
02:02:29:926,61.85567009
02:02:30:259,61.85567009
02:02:30:592,68.57142833
02:02:30:926,68.57142833
02:02:31:259,68.57142833
02:02:31:592,69.36416173
02:02:31:926,69.36416173
02:02:32:259,71.85628734
02:02:32:592,71.85628734
02:02:32:926,71.85628734
02:02:33:259,75.47169788
02:02:33:592,75.47169788
02:02:33:926,77.92207789
02:02:34:259,77.92207789
02:02:34:592,81.63265282
02:02:34:926,81.63265282
02:02:35:259,81.63265282
02:02:35:592,83.33333306
02:02:35:926,83.33333306
02:02:36:259,82.75862042
02:02:36:592,82.75862042
02:02:36:926,83.91608348
02:02:37:259,83.91608348
02:02:37:592,83.33333306
02:02:37:926,83.33333306
02:02:38:259,81.63265282
02:02:38:592,81.63265282
02:02:38:926,81.63265282
02:02:39:259,82.75862042
02:02:39:592,82.75862042
02:02:39:926,82.75862042
02:02:40:259,82.75862042
02:02:40:592,81.63265282
02:02:40:926,81.63265282
02:02:41:259,81.08108075
02:02:41:592,81.08108075
02:02:41:926,79.47019864
02:02:42:259,79.47019864
02:02:42:592,79.47019864
02:02:42:926,77.92207789
02:02:43:259,77.92207789
02:02:43:592,77.92207789
02:02:43:926,77.92207789
02:02:44:259,78.94736811
02:02:44:592,78.94736811
02:02:44:926,78.94736811
02:02:45:259,78.94736811
02:02:45:592,78.94736811
02:02:45:926,78.94736811
02:02:46:259,78.94736811
02:02:46:592,80.5369127
02:02:46:926,80.5369127
02:02:47:259,81.08108075
02:02:47:592,81.08108075
02:02:47:926,81.08108075
02:02:48:259,80.5369127
02:02:48:592,80.5369127
02:02:48:926,81.08108075
02:02:49:259,81.08108075
02:02:49:592,81.63265282
02:02:49:926,81.63265282
02:02:50:259,81.08108075
02:02:50:592,81.08108075
02:02:50:926,82.19178071
02:02:51:259,82.19178071
02:02:51:592,82.19178071
02:02:51:926,83.33333306
02:02:52:259,83.33333306
02:02:52:592,83.33333306
02:02:52:926,83.33333306
02:02:53:259,83.33333306
02:02:53:592,83.33333306
02:02:53:926,83.33333306
02:02:54:259,83.33333306
02:02:54:592,82.19178071
02:02:54:926,82.19178071
02:02:55:259,82.75862042
02:02:55:592,82.75862042
02:02:55:926,82.75862042
02:02:56:259,84.03361313
02:02:56:592,84.03361313
02:02:56:926,83.33333306
02:02:57:259,83.33333306
02:02:57:592,83.91608348
02:02:57:926,83.91608348
02:02:58:259,84.50704212
02:02:58:592,84.50704212
02:02:58:926,83.33333306
02:02:59:259,83.33333306
02:02:59:592,83.33333306
02:02:59:926,83.33333306
